Server_Name,IP_Address,Description,SCADA_System,Domain,Connected,Maintained,Fully_Qualified,Identifier,Location,OS_Installation,MS_Office,Other_Software,NOTES,Distribute_TGPL_GRAPHICS
wmstutqrmarts2,172.26.191.90,RMA QA RealTime 2,RMA/GCA,Williams,✔,✔,wmstutqrmarts2.Williams.com,164,Tulsa,MS Server 2008 R2 Standard SP1,MS Office 2010,,Use WMSSCADA password to access,
wmstutrcs1,,Primary 1 RCS,G&P SCADA,Williams,,,wmstutrcs1.Williams.com,165,Tulsa,,,,,
wmstutrcs2,,Primary 2 RCS,G&P SCADA,Williams,,,wmstutrcs2.Williams.com,166,Tulsa,,,,,
wmstutrmagas1,172.26.192.176,RMA GMAS Server,RMA/GCA,WMSSCADA,,,wmstutrmagas1.WMSSCADA.local,167,Tulsa,"MS Windows Server 2003, Standard Edition SP2",,,,
wmstutrmahis1,172.26.191.55,RMA Historian 1 for RMA and GCA,RMA/GCA,WMSSCADA,✔,✔,wmstutrmahis1.WMSSCADA.local,168,Tulsa,"MS Windows Server 2003, Standard Edition SP2",,,,
wmstutrmahis2,172.26.191.56,RMA Historian 2 for RMA and GCA,RMA/GCA,WMSSCADA,✔,✔,wmstutrmahis2.WMSSCADA.local,169,Tulsa,"MS Windows Server 2003, Standard Edition SP2",,,,
wmstutrmamts01,172.26.191.209,RMA ezXOS Terminal Server for RMA and GCA,RMA/GCA,WMSSCADA,✔,✔,wmstutrmamts01.WMSSCADA.local,170,Tulsa,MS Server 2008 R2 Standard SP1,,,Cannot install MS Office - Error 1935,
wmstutrmarts1,172.26.191.111,RMA Primary 1 SCADA System for RMA and GCA,RMA/GCA,WMSSCADA,✔,✔,wmstutrmarts1.WMSSCADA.local,171,Tulsa,,,,,
wmstutrmarts2,172.26.191.112,RMA Primary 2 SCADA System for RMA and GCA,RMA/GCA,WMSSCADA,✔,✔,wmstutrmarts2.WMSSCADA.local,172,Tulsa,"MS Windows Server 2003, Standard Edition SP2",,,,
wmstuttdsmts01,,Development Terminal Server,G&P SCADA,Williams,,,wmstuttdsmts01.Williams.com,173,Tulsa,,,,,
tultwtplcs01,172.26.192.223,??? Used by Alarms Report,G&P SCADA,Williams,,,tultwtplcs01.Williams.com,174,Tulsa,,,,,
tulpwsjbx01,,ClearSCADA Jump Box,ClearSCADA,WMBS,,,tulpwsjbx01.WMBS.io,175,Tulsa,,,,,
